Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00033	200.0	385									
GSM1937967			2.039056053627063	64.51676710131323	47.0	51.0	16.666666666666664	17325563.0			
GSM1937967_cutadapt				62.95401863469032	47.0	50.14391681131276	25.0	17260520.0			
GSM1937967_cutadapt_bowtie2				28.087380432850296	47.0	50.14391681131276	18.181818181818183	17260520.0	99.81		
GSM1937967_cutadapt_bowtie2_bam_stats										17260520	17227384
GSM1937968			3.321860726941957	61.23258382081935	49.0	51.0	25.0	17617567.0			
GSM1937968_cutadapt				59.09189064961094	49.0	50.222102717789454	25.0	17294570.0			
GSM1937968_cutadapt_bowtie2				28.296874617902105	49.0	50.222102717789454	18.181818181818183	17294570.0	96.97		
GSM1937968_cutadapt_bowtie2_bam_stats										17294570	16769732
GSM1937969			1.8570304851779487	58.790787402276514	49.0	51.0	16.666666666666664	16084736.0			
GSM1937969_cutadapt				57.261722178170956	49.0	50.21061504255407	25.0	16032663.0			
GSM1937969_cutadapt_bowtie2				26.160436602894137	49.0	50.21061504255407	18.181818181818183	16032663.0	96.77		
GSM1937969_cutadapt_bowtie2_bam_stats										16032663	15515260
GSM1937972			6.3643107238890355	63.645247588206075	50.0	51.0	25.0	23481977.0			
GSM1937972_cutadapt				59.96772777253796	50.0	50.172550805473804	25.0	22347592.0			
GSM1937972_cutadapt_bowtie2				40.185710052800395	50.0	50.172550805473804	18.181818181818183	22347592.0	98.1		
GSM1937972_cutadapt_bowtie2_bam_stats										22347592	21922856
