Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00070	200.0	766									
GSM3043059_1			5.234905443166854	46.668040862112434	50.0	38.0	27.27272727272727	12473999.0			
GSM3043059_2			2.642806090197361	44.32598613345377	53.0	38.0	27.27272727272727	12473999.0			
GSM3043059_cutadapt_1				42.3817235379851	50.0	37.51409599491102	18.181818181818183	11862483.0			
GSM3043059_cutadapt_2				40.128792816177715	51.0	37.43801259820562	9.090909090909092	11862483.0			
GSM3043059_cutadapt_bowtie2				39.97161625132176	51.0	37.47605429655832	9.090909090909092	23724966.0	97.64		
GSM3043059_cutadapt_bowtie2_bam_stats										23724966	23164222
GSM3043060_1			3.0370311818074436	48.08150495182792	50.0	38.0	18.181818181818183	13114349.0			
GSM3043060_2			2.3418573205979434	45.60381270738024	51.0	38.0	18.181818181818183	13114349.0			
GSM3043060_cutadapt_1				45.09222253995576	50.0	37.527959683476375	18.181818181818183	12756457.0			
GSM3043060_cutadapt_2				42.56556736179987	51.0	37.44518544608429	9.090909090909092	12756457.0			
GSM3043060_cutadapt_bowtie2				41.16998878453937	50.0	37.48657256478033	9.090909090909092	25512914.0	98.14		
GSM3043060_cutadapt_bowtie2_bam_stats										25512914	25038664
GSM3043095_1			10.35083381970255	36.03118370860358	50.0	38.0	18.181818181818183	7244334.0			
GSM3043095_2			2.7894460618972596	34.45802113850516	56.0	38.0	18.181818181818183	7244334.0			
GSM3043095_cutadapt_1				27.98784529372685	51.0	37.52013096474024	18.181818181818183	6517174.0			
GSM3043095_cutadapt_2				25.97406800626102	51.0	37.4192728320588	27.27272727272727	6517174.0			
GSM3043095_cutadapt_bowtie2				27.92438384894038	51.0	37.46970189839952	9.090909090909092	13034348.0	96.14		
GSM3043095_cutadapt_bowtie2_bam_stats										13034348	12531105
GSM3043096_1			3.9326640018319265	45.254579057230096	50.0	38.0	18.181818181818183	12305019.0			
GSM3043096_2			2.5368398990602725	43.066891377058425	52.0	38.0	18.181818181818183	12305019.0			
GSM3043096_cutadapt_1				41.7969807562531	50.0	37.52691474245609	18.181818181818183	11870539.0			
GSM3043096_cutadapt_2				39.72817123460052	51.0	37.45888901927705	18.181818181818183	11870539.0			
GSM3043096_cutadapt_bowtie2				41.20317787939286	51.0	37.49290188086657	9.090909090909092	23741078.0	97.5		
GSM3043096_cutadapt_bowtie2_bam_stats										23741078	23147850
