Module	Section	Sample Name	Source
Samtools	flagstat	GSM3043059_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043095_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043060_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043096_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM3043059_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043095_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043060_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043096_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM3043059_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043059_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043059/GSM3043059_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043095_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043095_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043095/GSM3043095_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043060_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt.log
Cutadapt	all_sections	GSM3043060_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043060/GSM3043060_cutadapt.log
Cutadapt	all_sections	GSM3043096_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043096_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043096/GSM3043096_2.fastq.gz_trimming_report.txt
