Sample	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	MACS2_mqc-generalstats-macs2-control_redundant_rate	MACS2_mqc-generalstats-macs2-peak_count	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
DS00075	200.0	0.44	0.43	466									
GSM3043051_1					7.286570770053833	27.974525694436068	52.0	38.0	27.27272727272727	5745098.0			
GSM3043051_2					4.189287557421573	24.365538985651156	52.0	37.0	9.090909090909092	5745098.0			
GSM3043051_cutadapt_1						21.971019797803763	52.0	37.53079620092057	18.181818181818183	5363194.0			
GSM3043051_cutadapt_2						20.927390678747344	52.0	36.47900467519914	18.181818181818183	5363194.0			
GSM3043051_cutadapt_bowtie2						12.96799882177308	52.0	37.004900438059856	18.181818181818183	10726388.0	86.66		
GSM3043051_cutadapt_bowtie2_bam_stats												10726388	9295041
GSM3043052_1					2.686193013527482	24.487806913011568	53.0	38.0	18.181818181818183	6831477.0			
GSM3043052_2					2.3753990218782532	22.647847739771862	53.0	37.0	9.090909090909092	6831477.0			
GSM3043052_cutadapt_1						22.11077177102129	53.0	37.544650302316995	18.181818181818183	6697771.0			
GSM3043052_cutadapt_2						20.992394024896967	53.0	36.50411532433701	9.090909090909092	6697771.0			
GSM3043052_cutadapt_bowtie2						15.45114951795	53.0	37.024382813327	18.181818181818183	13395542.0	80.24		
GSM3043052_cutadapt_bowtie2_bam_stats												13395542	10747921
GSM3043087_1					14.306208986810843	42.764945368567766	51.0	38.0	27.27272727272727	9609104.0			
GSM3043087_2					8.227024052370515	35.263268920403306	52.0	37.0	9.090909090909092	9609104.0			
GSM3043087_cutadapt_1						32.00529879932887	52.0	37.5424368963804	18.181818181818183	8252300.0			
GSM3043087_cutadapt_2						29.196528343401667	52.0	36.471616155496044	18.181818181818183	8252300.0			
GSM3043087_cutadapt_bowtie2						22.42124347824587	52.0	37.00702652593822	18.181818181818183	16504600.0	97.98		
GSM3043087_cutadapt_bowtie2_bam_stats												16504600	16171121
GSM3043088_1					5.242096621140183	19.77720057069611	50.0	38.0	18.181818181818183	3610268.0			
GSM3043088_2					4.009623722176918	16.82762225341922	50.0	37.0	9.090909090909092	3610268.0			
GSM3043088_cutadapt_1						15.322688099154774	50.0	37.538918537119045	18.181818181818183	3430409.0			
GSM3043088_cutadapt_2						14.362716505165096	50.0	36.469318673079506	18.181818181818183	3430409.0			
GSM3043088_cutadapt_bowtie2						10.484062217924901	50.0	37.00411860509927	18.181818181818183	6860818.0	98.37		
GSM3043088_cutadapt_bowtie2_bam_stats												6860818	6748666
